Portal,Domain,Topic,Detailed Skill / Tool,Type,Level,Learning Format,Official Source URL,Verified Date,Notes
W3Schools,Web Development,HTML,Semantic HTML,Skill / Topic,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Web Development,HTML,Forms,Skill / Topic,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Web Development,HTML,Tables,Skill / Topic,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Web Development,HTML,Media,Skill / Topic,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Web Development,HTML,Canvas,Skill / Topic,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Web Development,HTML,SVG,Skill / Topic,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Web Development,HTML,Accessibility basics,Skill / Topic,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Web Development,HTML,Web APIs,Skill / Topic,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Web Development,CSS,Selectors,Skill / Topic,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Web Development,CSS,Box model,Skill / Topic,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Web Development,CSS,Flexbox,Skill / Topic,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Web Development,CSS,CSS Grid,Skill / Topic,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Web Development,CSS,Responsive design,Skill / Topic,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Web Development,CSS,Animations,Skill / Topic,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Web Development,CSS,Transforms,Skill / Topic,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Web Development,CSS,Sass,Skill / Topic,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Web Development,JavaScript,Syntax,Skill / Topic,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Web Development,JavaScript,DOM,Skill / Topic,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Web Development,JavaScript,Events,Skill / Topic,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Web Development,JavaScript,Async JavaScript,Tool / Platform,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Web Development,JavaScript,Promises,Skill / Topic,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Web Development,JavaScript,Fetch API,Skill / Topic,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Web Development,JavaScript,JSON,Skill / Topic,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Web Development,JavaScript,Web storage,Skill / Topic,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Web Development,Frameworks & Libraries,React,Tool / Platform,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Web Development,Frameworks & Libraries,Angular,Tool / Platform,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Web Development,Frameworks & Libraries,AngularJS,Tool / Platform,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Web Development,Frameworks & Libraries,Vue,Tool / Platform,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Web Development,Frameworks & Libraries,jQuery,Skill / Topic,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Web Development,Frameworks & Libraries,Bootstrap,Skill / Topic,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Web Development,Frameworks & Libraries,W3.CSS,Skill / Topic,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Web Development,Backend Web,Node.js,Tool / Platform,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Web Development,Backend Web,PHP,Skill / Topic,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Web Development,Backend Web,ASP.NET,Skill / Topic,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Web Development,Backend Web,Django,Skill / Topic,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Programming,Languages,Python,Tool / Platform,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Programming,Languages,Java,Tool / Platform,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Programming,Languages,C,Skill / Topic,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Programming,Languages,C++,Tool / Platform,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Programming,Languages,C#,Tool / Platform,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Programming,Languages,R,Skill / Topic,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Programming,Languages,Go,Skill / Topic,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Programming,Languages,Kotlin,Skill / Topic,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Programming,Languages,Swift,Skill / Topic,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Programming,Languages,Rust,Skill / Topic,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Programming,Languages,TypeScript,Skill / Topic,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Programming,Languages,Bash,Skill / Topic,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Programming,Programming Foundations,Variables,Skill / Topic,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Programming,Programming Foundations,Control flow,Skill / Topic,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Programming,Programming Foundations,Functions,Skill / Topic,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Programming,Programming Foundations,Object-oriented programming,Skill / Topic,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Programming,Programming Foundations,Data structures,Skill / Topic,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Programming,Programming Foundations,Algorithms,Skill / Topic,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Data & Databases,Databases,SQL,Tool / Platform,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Data & Databases,Databases,MySQL,Tool / Platform,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
W3Schools,Data & Databases,Databases,PostgreSQL,Tool / Platform,Varies,"Tutorials, references, exercises, quizzes, code editor",https://www.w3schools.com/tutorials/,46225,Catalog-level coverage; verify individual offerings on portal.
